Source,Target,Type,Id,Label,timeset,Weight
1851,1523,Directed,20809,,,1
1765,1271,Directed,20810,,,1
1228,2188,Directed,20811,,,1
2160,2271,Directed,20812,,,1
2233,2472,Directed,20813,,,1
691,1014,Directed,20814,,,1
1781,1366,Directed,20815,,,1
2275,2024,Directed,20816,,,1
1207,944,Directed,20817,,,1
1948,1327,Directed,20818,,,1
1945,1670,Directed,20819,,,1
2009,1559,Directed,20820,,,1
1140,1068,Directed,20821,,,1
2047,1680,Directed,20822,,,1
2389,2158,Directed,20823,,,1
1420,1271,Directed,20824,,,1
1794,1566,Directed,20825,,,1
2048,1670,Directed,20826,,,1
1691,1657,Directed,20827,,,1
2042,2452,Directed,20828,,,1
1656,1224,Directed,20829,,,1
1484,1338,Directed,20830,,,1
2275,2438,Directed,20831,,,1
1867,2439,Directed,20832,,,1
1404,1409,Directed,20833,,,1
1645,1522,Directed,20834,,,1
1142,1075,Directed,20835,,,1
2028,749,Directed,20836,,,1
845,1613,Directed,20837,,,1
1411,1804,Directed,20838,,,1
2435,2385,Directed,20839,,,1
2074,2067,Directed,20840,,,1
2207,2494,Directed,20841,,,1
2390,2168,Directed,20842,,,1
1862,1930,Directed,20843,,,1
2296,2141,Directed,20844,,,1
1248,1248,Directed,20845,,,1
1471,2060,Directed,20846,,,1
1852,2071,Directed,20847,,,1
1504,1769,Directed,20848,,,1
2115,916,Directed,20849,,,1
648,1347,Directed,20850,,,1
2462,2451,Directed,20851,,,1
2523,1958,Directed,20852,,,1
2446,1022,Directed,20853,,,1
2032,1609,Directed,20854,,,1
1208,2505,Directed,20855,,,1
990,1333,Directed,20856,,,1
820,1859,Directed,20857,,,1
914,1328,Directed,20858,,,1
1469,2441,Directed,20859,,,1
1857,2336,Directed,20860,,,1
1599,2171,Directed,20861,,,1
2115,1727,Directed,20862,,,1
1740,2083,Directed,20863,,,1
2355,2328,Directed,20864,,,1
1580,1012,Directed,20865,,,1
1317,1275,Directed,20866,,,1
863,2303,Directed,20867,,,1
1725,1000,Directed,20868,,,1
2112,2098,Directed,20869,,,1
2130,1238,Directed,20870,,,1
2459,1908,Directed,20871,,,1
968,1275,Directed,20872,,,1
1127,2171,Directed,20873,,,1
1155,1115,Directed,20874,,,1
2056,912,Directed,20875,,,1
2537,2109,Directed,20876,,,1
2150,1874,Directed,20877,,,1
981,879,Directed,20878,,,1
2127,2064,Directed,20879,,,1
2199,2093,Directed,20880,,,1
2079,1627,Directed,20881,,,1
1734,1096,Directed,20882,,,1
2215,2460,Directed,20883,,,1
1185,971,Directed,20884,,,1
1287,942,Directed,20885,,,1
987,719,Directed,20886,,,1
1927,2247,Directed,20887,,,1
1956,1706,Directed,20888,,,1
1189,1542,Directed,20889,,,1
2392,2268,Directed,20890,,,1
2005,676,Directed,20891,,,1
961,931,Directed,20892,,,1
1494,692,Directed,20893,,,1
2186,2158,Directed,20894,,,1
1636,822,Directed,20895,,,1
698,1730,Directed,20896,,,1
1756,1731,Directed,20897,,,1
1527,740,Directed,20898,,,1
1901,2256,Directed,20899,,,1
747,732,Directed,20900,,,1
778,1632,Directed,20901,,,1
1560,1447,Directed,20902,,,1
1234,778,Directed,20903,,,1
1278,1297,Directed,20904,,,1
2038,2278,Directed,20905,,,1
1247,988,Directed,20906,,,1
2437,2427,Directed,20907,,,1
1617,1478,Directed,20908,,,1
758,1951,Directed,20909,,,1
2176,2063,Directed,20910,,,1
1220,1115,Directed,20911,,,1
2251,1701,Directed,20912,,,1
1136,917,Directed,20913,,,1
2493,2367,Directed,20914,,,1
2273,2224,Directed,20915,,,1
710,1520,Directed,20916,,,1
682,1230,Directed,20917,,,1
1293,2462,Directed,20918,,,1
2541,2142,Directed,20919,,,1
1870,1491,Directed,20920,,,1
1632,1438,Directed,20921,,,1
675,1103,Directed,20922,,,1
1601,2379,Directed,20923,,,1
1339,1058,Directed,20924,,,1
2470,2440,Directed,20925,,,1
1479,2440,Directed,20926,,,1
1270,1270,Directed,20927,,,1
1779,755,Directed,20928,,,1
1236,788,Directed,20929,,,1
1561,1588,Directed,20930,,,1
1955,2078,Directed,20931,,,1
2273,1487,Directed,20932,,,1
882,1496,Directed,20933,,,1
911,2283,Directed,20934,,,1
1054,2251,Directed,20935,,,1
1169,860,Directed,20936,,,1
2156,2125,Directed,20937,,,1
1000,1985,Directed,20938,,,1
1362,2421,Directed,20939,,,1
853,2498,Directed,20940,,,1
1657,851,Directed,20941,,,1
1960,1671,Directed,20942,,,1
2333,2280,Directed,20943,,,1
