Talk1,Talk2
626,737
2157,1819
2528,1725
2269,888
1589,2371
2468,555
920,2359
1043,319
256,291
1755,2543
1840,1536
994,2484
677,2020
1133,735
694,252
2524,1381
425,1690
1484,1000
269,1056
1901,1607
2005,658
198,1463
1019,1940
620,139
85,2006
1147,1829
2337,1762
2193,109
190,1987
2333,1323
2328,2196
1977,2072
472,1897
897,1259
1383,1525
87,525
2069,354
1999,2045
804,1244
1331,331
566,1845
594,676
2035,2477
2422,1098
2013,2261
2163,2316
2044,993
649,1818
1171,623
1720,2424
746,1377
661,1907
1004,682
1881,225
1988,1486
1610,585
1901,461
1956,1375
825,717
258,658
1259,897
2225,1338
463,2470
4,2199
1909,2315
216,1489
2142,1382
603,1432
942,1369
2058,2376
152,2380
415,2265
579,41
2350,1345
1555,289
1434,2193
697,761
1194,1723
2402,526
1008,1122
1730,1603
1464,1030
605,58
503,1541
694,1315
801,778
552,1834
1635,1750
427,926
282,2396
1243,142
728,2099
992,502
40,2470
2134,455
2423,2415
467,1257
1334,656
2545,2335
667,486
441,1560
2452,1004
2536,700
1956,1933
1426,1498
2450,1986
429,256
1679,1328
1958,1384
578,2160
935,1377
585,2502
249,2129
887,1850
1567,1084
2358,334
686,2281
68,2480
2416,274
1966,2306
2046,2472
1946,2260
662,1366
92,1759
746,1255
1442,369
479,1897
1671,1130
890,621
2,1081
261,2185
2366,1087
2020,1897
961,2114
1406,73
36,2036
581,1054
296,1907
966,908
1278,70
1789,1203
766,728
1730,1528
970,1622
2104,1108
1258,2381
1443,954
121,2112
1181,1122
711,1651
110,587
471,2458
1683,850
2202,142
1146,1256
2231,2374
2055,736
924,1582
2398,1340
719,520
1973,2520
2507,1396
2025,2398
2469,1913
2152,577
1066,2159
1949,730
1230,213
2384,2380
666,1746
1955,1234
672,2449
1766,2321
221,1401
1120,1099
1611,1477
1790,1357
2173,1364
1271,1607
2182,1560
123,48
458,1273
150,372
2435,2289
726,1104
2515,1847
623,1110
1749,130
1523,1273
1787,1240
935,1255
1969,999
481,1741
978,525
2382,981
733,2158
1743,2254
602,1245
34,542
2536,384
2352,922
1250,1359
771,483
1288,934
2440,1409
811,1248
212,441
1205,577
1284,1318
2127,1381
473,861
2457,2495
436,1143
1749,339
1857,613
1215,1163
962,1313
1227,164
883,2478
1571,1986
2034,1897
696,1067
854,252
2456,748
2286,620
1684,81
845,1071
752,503
2439,2391
940,2474
2378,1841
2505,59
344,339
1964,923
2510,917
1033,1742
1292,1157
1851,1907
4,24
226,10
1669,1838
365,612
2545,2542
1230,803
2153,1467
2236,461
160,1670
1573,353
1585,197
2508,1396
2125,238
1135,1916
595,899
835,208
1445,913
1135,1917
397,894
852,2145
2449,2040
567,575
886,176
723,2076
81,2536
1800,1730
1722,449
1712,34
555,1025
121,1847
1512,2527
2473,1254
971,278
2243,2503
2278,2432
1707,1187
2280,305
1175,806
17,24
468,2434
739,629
246,2067
1845,661
2146,1402
746,79
1753,1468
501,1296
793,1783
292,48
1506,2042
2041,2406
1343,1094
645,1447
266,2140
2301,67
2517,153
910,2232
297,2438
284,781
996,2539
975,969
2138,2160
47,1297
1314,1750
2324,262
772,1846
2499,2481
1083,1315
2080,136
136,705
462,187
776,782
638,838
2481,43
1159,1031
2379,1149
396,1257
965,261
1118,728
2481,482
227,2146
503,1077
2172,828
790,149
167,1192
263,716
2311,832
226,2066
2356,1862
2069,1918
773,326
2308,1498
2451,2183
568,2280
993,70
883,575
215,177
1261,1368
53,578
98,1735
2378,688
88,568
765,1310
1115,1685
611,136
362,1250
1009,1818
893,1673
2425,209
2273,2341
2497,1520
1555,2181
192,130
509,999
688,1101
1672,137
1085,2408
89,1213
1679,2493
279,1893
115,1303
167,2217
356,1325
1838,2036
891,17
