Talk1,Talk2
644,2365
1445,2129
1287,1200
1056,714
1608,1436
1406,2500
1694,682
2030,2315
957,2374
2101,1741
2368,2044
2302,1747
805,778
1615,1482
2046,1514
1157,902
1146,699
2233,1443
1384,871
806,2062
1454,1479
2540,2348
883,1583
1602,1510
2302,2244
2284,2095
2068,1764
2329,1961
2169,2520
1855,1837
1912,786
674,1664
2221,959
2422,2142
1755,2475
2197,2341
1055,1009
2076,2061
2075,2030
2483,2305
2495,2291
1455,895
1859,1822
893,702
2188,1195
2105,2046
890,1771
1498,2232
1756,2062
1222,1068
1351,2284
826,1831
1656,1447
1434,2290
1544,1182
2493,1603
1453,1611
1526,2019
1951,1170
2205,2378
2270,995
2539,2225
1240,1190
1727,2311
1472,2462
2185,1768
1223,1384
1808,821
1411,1195
2237,1751
1102,986
1423,832
1413,2472
899,2354
981,1263
1373,659
1181,2065
1243,1180
1024,2283
2166,2048
1119,1612
1905,827
2252,1632
2092,2275
1332,2203
1090,753
1315,960
1425,2148
1663,827
1668,1414
2268,2522
2547,2064
1994,1812
2545,1154
2381,2147
871,2455
2302,2255
748,1381
827,1514
1189,1379
1659,826
2026,1241
2163,2134
2254,2096
659,975
2157,1175
2387,2022
881,2117
1949,1519
673,739
838,2435
660,1183
2183,2295
2008,1752
1200,957
2099,2060
2105,1967
2194,1419
1992,1990
1978,1757
1286,1284
1362,2322
2299,1809
1285,2312
1741,707
